Country,Year,Average female percentage,Gap,Index
Austria,2013,0.3502820248509882,0.1497179751490118,0.7005640497019764
Austria,2014,0.34919455244740427,0.15080544755259573,0.6983891048948085
Austria,2015,0.35232668585740834,0.14767331414259166,0.7046533717148167
Austria,2016,0.3512032158094083,0.14879678419059172,0.7024064316188166
Austria,2017,0.3460484678542538,0.1539515321457462,0.6920969357085076
Austria,2018,0.3446861981907274,0.15531380180927262,0.6893723963814548
Austria,2019,0.34173080635998315,0.15826919364001685,0.6834616127199663
Austria,2020,0.345284102181038,0.154715897818962,0.690568204362076
Austria,2021,0.33685787692572994,0.16314212307427006,0.6737157538514599
Austria,2022,0.33111585148872447,0.16888414851127553,0.6622317029774489
Belgium,2013,0.34928206685119606,0.15071793314880394,0.6985641337023921
Belgium,2014,0.35573207339122576,0.14426792660877424,0.7114641467824515
Belgium,2015,0.33257602221783533,0.16742397778216467,0.6651520444356707
Belgium,2016,0.3130947285487666,0.18690527145123342,0.6261894570975332
Belgium,2017,0.32161654427481423,0.17838345572518577,0.6432330885496285
Belgium,2018,0.3256017455871632,0.1743982544128368,0.6512034911743264
Belgium,2019,0.33099055872108346,0.16900944127891654,0.6619811174421669
Belgium,2020,0.332546615192825,0.16745338480717498,0.66509323038565
Belgium,2021,0.32830107121175384,0.17169892878824616,0.6566021424235077
Belgium,2022,0.32368826118541105,0.17631173881458895,0.6473765223708221
Bulgaria,2013,0.4679125282954224,0.0320874717045776,0.9358250565908448
Bulgaria,2014,0.45817897719120165,0.04182102280879835,0.9163579543824033
Bulgaria,2015,0.45338544937086983,0.04661455062913017,0.9067708987417397
Bulgaria,2016,0.45373979105001566,0.04626020894998434,0.9074795821000313
Bulgaria,2017,0.4514680933607639,0.04853190663923612,0.9029361867215278
Bulgaria,2018,0.44999540024896223,0.05000459975103777,0.8999908004979245
Bulgaria,2019,0.44770315073181877,0.052296849268181234,0.8954063014636375
Bulgaria,2020,0.44726878299014383,0.05273121700985617,0.8945375659802877
Bulgaria,2021,0.4522419128759609,0.04775808712403912,0.9044838257519218
Bulgaria,2022,0.4550669216524594,0.04493307834754062,0.9101338433049188
Croatia,2013,0.42793742487539194,0.07206257512460806,0.8558748497507839
Croatia,2014,0.4193476779651648,0.08065232203483519,0.8386953559303296
Croatia,2015,0.42525253388595774,0.07474746611404226,0.8505050677719155
Croatia,2016,0.42085121966775635,0.07914878033224365,0.8417024393355127
Croatia,2017,0.4179967312454785,0.08200326875452152,0.835993462490957
Croatia,2018,0.4223451333740761,0.07765486662592391,0.8446902667481522
Croatia,2019,0.4077350176024798,0.09226498239752018,0.8154700352049596
Croatia,2020,0.4136659969662826,0.08633400303371741,0.8273319939325652
Croatia,2021,0.41783768128718246,0.08216231871281754,0.8356753625743649
Croatia,2022,0.41800786071512414,0.08199213928487586,0.8360157214302483
Cyprus,2013,0.4055589258287169,0.09444107417128311,0.8111178516574338
Cyprus,2014,0.3606283527848107,0.1393716472151893,0.7212567055696214
Cyprus,2015,0.39003384761855453,0.10996615238144547,0.7800676952371091
Cyprus,2016,0.3888544448369818,0.11114555516301822,0.7777088896739636
Cyprus,2017,0.381307682765027,0.11869231723497298,0.762615365530054
Cyprus,2018,0.38469443378507234,0.11530556621492766,0.7693888675701447
Cyprus,2019,0.3801916125599287,0.11980838744007127,0.7603832251198575
Cyprus,2020,0.37012244405803035,0.12987755594196965,0.7402448881160607
Cyprus,2021,0.3780589611156803,0.12194103888431967,0.7561179222313607
Cyprus,2022,0.3819385403158277,0.11806145968417231,0.7638770806316554
Czech Republic,2013,0.3984840905704968,0.10151590942950323,0.7969681811409935
Czech Republic,2014,0.4001290462310956,0.09987095376890442,0.8002580924621912
Czech Republic,2015,0.3956895548741626,0.10431044512583743,0.7913791097483251
Czech Republic,2016,0.40278779193680875,0.09721220806319125,0.8055755838736175
Czech Republic,2017,0.40016826736883954,0.09983173263116046,0.8003365347376791
Czech Republic,2018,0.4340208594573059,0.0659791405426941,0.8680417189146118
Czech Republic,2019,0.3989578796267004,0.10104212037329963,0.7979157592534007
Czech Republic,2020,0.3974374702266169,0.1025625297733831,0.7948749404532338
Czech Republic,2021,0.3903179702183017,0.10968202978169828,0.7806359404366034
Czech Republic,2022,0.3887568031246794,0.11124319687532058,0.7775136062493588
Denmark,2013,0.3531184874078375,0.14688151259216248,0.706236974815675
Denmark,2014,0.35677906857530406,0.14322093142469594,0.7135581371506081
Denmark,2015,0.35145426990032824,0.14854573009967176,0.7029085398006565
Denmark,2016,0.3430063693336398,0.15699363066636018,0.6860127386672796
Denmark,2017,0.3486085589035322,0.1513914410964678,0.6972171178070644
Denmark,2018,0.36043497684872405,0.13956502315127595,0.7208699536974481
Denmark,2019,0.36066653655467806,0.13933346344532194,0.7213330731093561
Denmark,2020,0.3535052077185227,0.14649479228147733,0.7070104154370453
Denmark,2021,0.36286356611013426,0.13713643388986574,0.7257271322202685
Denmark,2022,0.35940370556697115,0.14059629443302885,0.7188074111339423
Estonia,2013,0.494287235846482,0.005712764153518013,0.988574471692964
Estonia,2014,0.4846930585751241,0.015306941424875875,0.9693861171502482
Estonia,2015,0.48773152641690526,0.012268473583094741,0.9754630528338105
Estonia,2016,0.4976338672456168,0.002366132754383188,0.9952677344912336
Estonia,2017,0.4765334501152682,0.02346654988473179,0.9530669002305364
Estonia,2018,0.46427060740730897,0.035729392592691034,0.9285412148146179
Estonia,2019,0.47246138026079254,0.02753861973920746,0.9449227605215851
Estonia,2020,0.4677958282451099,0.0322041717548901,0.9355916564902198
Estonia,2021,0.46338483448143786,0.03661516551856214,0.9267696689628757
Estonia,2022,0.4771559860255563,0.02284401397444369,0.9543119720511126
Finland,2013,0.4285129358581002,0.07148706414189981,0.8570258717162004
Finland,2014,0.4343114129350656,0.06568858706493441,0.8686228258701312
Finland,2015,0.44142719996776136,0.05857280003223864,0.8828543999355227
Finland,2016,0.43602880104477254,0.06397119895522746,0.8720576020895451
Finland,2017,0.4262801233064277,0.07371987669357227,0.8525602466128555
Finland,2018,0.42644748570529917,0.07355251429470083,0.8528949714105983
Finland,2019,0.42943683952244144,0.07056316047755856,0.8588736790448829
Finland,2020,0.43194233515303676,0.06805766484696324,0.8638846703060735
Finland,2021,0.42059640331949744,0.07940359668050256,0.8411928066389949
Finland,2022,0.4147195564876673,0.08528044351233272,0.8294391129753346
France,2013,0.3504930456700173,0.14950695432998268,0.7009860913400346
France,2014,0.36276527655140767,0.13723472344859233,0.7255305531028153
France,2015,0.36518312623734506,0.13481687376265494,0.7303662524746901
France,2016,0.3661670509074311,0.13383294909256888,0.7323341018148622
France,2017,0.36271467959779924,0.13728532040220076,0.7254293591955985
France,2018,0.3667057480318658,0.13329425196813421,0.7334114960637316
France,2019,0.37541700448278065,0.12458299551721935,0.7508340089655613
France,2020,0.3711440454042588,0.12885595459574117,0.7422880908085177
France,2021,0.3663199629445894,0.1336800370554106,0.7326399258891788
France,2022,0.37945959387151856,0.12054040612848144,0.7589191877430371
Germany,2013,0.3060094019663166,0.1939905980336834,0.6120188039326332
Germany,2014,0.30943863053635806,0.19056136946364194,0.6188772610727161
Germany,2015,0.30807127566592163,0.19192872433407837,0.6161425513318433
Germany,2016,0.2899946245326478,0.2100053754673522,0.5799892490652956
Germany,2017,0.30892305514908075,0.19107694485091925,0.6178461102981615
Germany,2018,0.3065434209815195,0.1934565790184805,0.613086841963039
Germany,2019,0.286936870481077,0.21306312951892298,0.573873740962154
Germany,2020,0.0,0.0,0.0
Germany,2021,0.3065476283570603,0.1934523716429397,0.6130952567141206
Germany,2022,0.3083717835610664,0.19162821643893357,0.6167435671221329
Greece,2013,0.35129092708344095,0.14870907291655905,0.7025818541668819
Greece,2014,0.35899958576871466,0.14100041423128534,0.7179991715374293
Greece,2015,0.3532846881554446,0.14671531184455538,0.7065693763108892
Greece,2016,0.343945077322901,0.15605492267709897,0.687890154645802
Greece,2017,0.3492841424608103,0.1507158575391897,0.6985682849216206
Greece,2018,0.34119377625126085,0.15880622374873915,0.6823875525025217
Greece,2019,0.34112465574566453,0.15887534425433547,0.6822493114913291
Greece,2020,0.3382935787347481,0.16170642126525192,0.6765871574694962
Greece,2021,0.3441157252696669,0.15588427473033312,0.6882314505393338
Greece,2022,0.3429247249915183,0.15707527500848167,0.6858494499830367
Hungary,2013,0.4447420686043297,0.05525793139567031,0.8894841372086594
Hungary,2014,0.41649628868206745,0.08350371131793255,0.8329925773641349
Hungary,2015,0.41488836719982103,0.08511163280017897,0.8297767343996421
Hungary,2016,0.4148831805511254,0.08511681944887461,0.8297663611022508
Hungary,2017,0.4434989741733271,0.05650102582667288,0.8869979483466542
