Country,Year,Sector,percent
Belgium,2017,OC7,0.05506709856547895
Belgium,2017,OC8,0.10211267605633803
Belgium,2017,OC9,0.37735849056603776
Belgium,2017,TOTAL,0.3554531580183142
Belgium,2018,OC0,0.0
Belgium,2018,OC1,0.2932577565632458
Belgium,2018,OC2,0.46517711171662124
Belgium,2018,OC3,0.39777468706536856
Belgium,2018,OC4,0.5152612519399896
Belgium,2018,OC5,0.5207463102199944
Belgium,2018,OC6,0.16595744680851063
Belgium,2018,OC7,0.043358568479008944
Belgium,2018,OC8,0.11598513011152416
Belgium,2018,OC9,0.412897447380206
Belgium,2018,TOTAL,0.3603140613847252
Belgium,2019,OC0,0.0
Belgium,2019,OC1,0.2934164183148198
Belgium,2019,OC2,0.47728680569894694
Belgium,2019,OC3,0.40084958486194244
Belgium,2019,OC4,0.5241626182562005
Belgium,2019,OC5,0.548471615720524
Belgium,2019,OC6,0.18467583497053047
Belgium,2019,OC7,0.038118591172536784
Belgium,2019,OC8,0.12551058299294465
Belgium,2019,OC9,0.38642297650130547
Belgium,2019,TOTAL,0.3665076812156841
Belgium,2020,OC0,0.0
Belgium,2020,OC1,0.3188289014235831
Belgium,2020,OC2,0.4776149167414498
Belgium,2020,OC3,0.42130518234165065
Belgium,2020,OC4,0.5254237288135594
Belgium,2020,OC5,0.5588957055214724
Belgium,2020,OC6,0.1592356687898089
Belgium,2020,OC7,0.04227680680207841
Belgium,2020,OC8,0.11089718906430497
Belgium,2020,OC9,0.37844143723751744
Belgium,2020,TOTAL,0.37485669546738243
Bulgaria,2013,OC0,0.0
Bulgaria,2013,OC1,0.3877784123358082
Bulgaria,2013,OC2,0.6891488873594861
Bulgaria,2013,OC3,0.4830957230142566
Bulgaria,2013,OC4,0.7382978723404255
Bulgaria,2013,OC5,0.6005444028581151
Bulgaria,2013,OC6,0.39673913043478254
Bulgaria,2013,OC7,0.25385218072603816
Bulgaria,2013,OC8,0.25967281225655675
Bulgaria,2013,OC9,0.40208333333333335
Bulgaria,2013,TOTAL,0.4743821579264617
Bulgaria,2014,OC0,0.0
Bulgaria,2014,OC1,0.38030660377358494
Bulgaria,2014,OC2,0.6591845140032949
Bulgaria,2014,OC3,0.47953869047619047
Bulgaria,2014,OC4,0.727035490605428
Bulgaria,2014,OC5,0.6009590683336188
Bulgaria,2014,OC6,0.375
Bulgaria,2014,OC7,0.26094003241491087
Bulgaria,2014,OC8,0.2557367984517556
Bulgaria,2014,OC9,0.38490959666203056
Bulgaria,2014,TOTAL,0.4716875481206691
Bulgaria,2015,OC0,0.0
Bulgaria,2015,OC1,0.3687214611872146
Bulgaria,2015,OC2,0.6676829268292683
Bulgaria,2015,OC3,0.4960516870064608
