,Country,Year,Age,Employment Gap in %,Employed Persons in Thousands,IndexValueEmployment
177,Croatia,2017,Y15-24,0.08,121,0.92
178,Croatia,2018,Y15-24,0.1,117,0.9
179,Croatia,2019,Y15-24,0.11,124,0.89
180,Croatia,2020,Y15-24,0.13,113,0.87
181,Croatia,2021,Y15-24,0.11,111,0.89
182,Hungary,2009,Y15-24,0.03,226,0.97
183,Hungary,2010,Y15-24,0.02,224,0.98
184,Hungary,2011,Y15-24,0.03,218,0.97
185,Hungary,2012,Y15-24,0.02,220,0.98
186,Hungary,2013,Y15-24,0.05,236,0.95
187,Hungary,2014,Y15-24,0.05,269,0.95
188,Hungary,2015,Y15-24,0.04,287,0.96
189,Hungary,2016,Y15-24,0.06,307,0.94
190,Hungary,2017,Y15-24,0.07,310,0.9299999999999999
191,Hungary,2018,Y15-24,0.07,307,0.9299999999999999
192,Hungary,2019,Y15-24,0.08,293,0.92
193,Hungary,2020,Y15-24,0.06,278,0.94
194,Hungary,2021,Y15-24,0.07,270,0.9299999999999999
195,Ireland,2009,Y15-24,-0.05,291,1.05
196,Ireland,2010,Y15-24,-0.04,236,1.04
197,Ireland,2011,Y15-24,-0.04,209,1.04
198,Ireland,2012,Y15-24,-0.05,197,1.05
199,Ireland,2013,Y15-24,-0.01,206,1.01
200,Ireland,2014,Y15-24,0.0,209,1.0
201,Ireland,2015,Y15-24,0.01,216,0.99
202,Ireland,2016,Y15-24,0.0,242,1.0
203,Ireland,2017,Y15-24,0.0,235,1.0
204,Ireland,2018,Y15-24,0.02,244,0.98
205,Ireland,2019,Y15-24,0.0,255,1.0
206,Ireland,2020,Y15-24,0.01,226,0.99
207,Ireland,2021,Y15-24,0.0,273,1.0
208,Italy,2009,Y15-24,0.09,1283,0.91
209,Italy,2010,Y15-24,0.08,1208,0.92
210,Italy,2011,Y15-24,0.07,1148,0.9299999999999999
211,Italy,2012,Y15-24,0.07,1104,0.9299999999999999
212,Italy,2013,Y15-24,0.05,972,0.95
213,Italy,2014,Y15-24,0.05,921,0.95
214,Italy,2015,Y15-24,0.07,917,0.9299999999999999
215,Italy,2016,Y15-24,0.05,966,0.95
216,Italy,2017,Y15-24,0.06,992,0.94
217,Italy,2018,Y15-24,0.07,1019,0.9299999999999999
218,Italy,2019,Y15-24,0.06,1061,0.94
219,Italy,2020,Y15-24,0.07,959,0.9299999999999999
220,Italy,2021,Y15-24,0.07,1012,0.9299999999999999
221,Lithuania,2009,Y15-24,0.01,98,0.99
222,Lithuania,2010,Y15-24,0.02,84,0.98
223,Lithuania,2011,Y15-24,0.04,81,0.96
224,Lithuania,2012,Y15-24,0.03,88,0.97
225,Lithuania,2013,Y15-24,0.06,98,0.94
226,Lithuania,2014,Y15-24,0.07,107,0.9299999999999999
227,Lithuania,2015,Y15-24,0.05,105,0.95
228,Lithuania,2016,Y15-24,0.04,105,0.96
229,Lithuania,2017,Y15-24,0.04,98,0.96
230,Lithuania,2018,Y15-24,0.03,98,0.97
231,Lithuania,2019,Y15-24,0.01,95,0.99
232,Lithuania,2020,Y15-24,0.02,83,0.98
233,Lithuania,2021,Y15-24,0.04,86,0.96
234,Luxembourg,2009,Y15-24,0.05,15,0.95
235,Luxembourg,2010,Y15-24,0.02,12,0.98
236,Luxembourg,2011,Y15-24,0.05,12,0.95
237,Luxembourg,2012,Y15-24,0.03,13,0.97
238,Luxembourg,2013,Y15-24,0.05,13,0.95
239,Luxembourg,2014,Y15-24,0.03,12,0.97
240,Luxembourg,2015,Y15-24,0.0,19,1.0
241,Luxembourg,2016,Y15-24,-0.01,17,1.01
242,Luxembourg,2017,Y15-24,0.03,18,0.97
243,Luxembourg,2018,Y15-24,0.0,20,1.0
244,Luxembourg,2019,Y15-24,0.05,20,0.95
245,Luxembourg,2020,Y15-24,0.01,18,0.99
246,Luxembourg,2021,Y15-24,0.01,21,0.99
247,Latvia,2009,Y15-24,0.05,87,0.95
248,Latvia,2010,Y15-24,0.02,75,0.98
249,Latvia,2011,Y15-24,0.05,71,0.95
250,Latvia,2012,Y15-24,0.07,72,0.9299999999999999
251,Latvia,2013,Y15-24,0.06,71,0.94
252,Latvia,2014,Y15-24,0.08,69,0.92
253,Latvia,2015,Y15-24,0.05,69,0.95
254,Latvia,2016,Y15-24,0.02,62,0.98
255,Latvia,2017,Y15-24,0.04,59,0.96
256,Latvia,2018,Y15-24,0.05,57,0.95
257,Latvia,2019,Y15-24,0.04,54,0.96
258,Latvia,2020,Y15-24,0.06,50,0.94
259,Latvia,2021,Y15-24,0.04,48,0.96
260,Malta,2009,Y15-24,0.04,25,0.96
261,Malta,2010,Y15-24,0.04,25,0.96
262,Malta,2011,Y15-24,0.06,25,0.94
263,Malta,2012,Y15-24,0.05,24,0.95
264,Malta,2013,Y15-24,0.03,26,0.97
265,Malta,2014,Y15-24,-0.01,26,1.01
266,Malta,2015,Y15-24,0.02,25,0.98
267,Malta,2016,Y15-24,0.06,25,0.94
268,Malta,2017,Y15-24,0.02,25,0.98
269,Malta,2018,Y15-24,-0.02,27,1.02
270,Malta,2019,Y15-24,0.0,27,1.0
271,Malta,2020,Y15-24,0.0,25,1.0
272,Malta,2021,Y15-24,-0.02,25,1.02
273,Netherlands,2009,Y15-24,-0.05,1416,1.05
274,Netherlands,2010,Y15-24,-0.06,1378,1.06
275,Netherlands,2011,Y15-24,-0.07,1392,1.07
276,Netherlands,2012,Y15-24,-0.06,1396,1.06
277,Netherlands,2013,Y15-24,-0.06,1385,1.06
278,Netherlands,2014,Y15-24,-0.04,1362,1.04
279,Netherlands,2015,Y15-24,-0.06,1405,1.06
280,Netherlands,2016,Y15-24,-0.07,1416,1.07
281,Netherlands,2017,Y15-24,-0.06,1460,1.06
282,Netherlands,2018,Y15-24,-0.07,1503,1.07
283,Netherlands,2019,Y15-24,-0.06,1541,1.06
284,Netherlands,2020,Y15-24,-0.06,1488,1.06
285,Netherlands,2021,Y15-24,-0.05,1520,1.05
286,Poland,2009,Y15-24,0.07,1368,0.9299999999999999
287,Poland,2010,Y15-24,0.08,1307,0.92
288,Poland,2011,Y15-24,0.09,1186,0.91
289,Poland,2012,Y15-24,0.08,1132,0.92
290,Poland,2013,Y15-24,0.09,1069,0.91
291,Poland,2014,Y15-24,0.08,1094,0.92
292,Poland,2015,Y15-24,0.09,1077,0.91
293,Poland,2016,Y15-24,0.08,1125,0.92
294,Poland,2017,Y15-24,0.08,1124,0.92
295,Poland,2018,Y15-24,0.07,1131,0.9299999999999999
296,Poland,2019,Y15-24,0.07,1120,0.9299999999999999
297,Poland,2020,Y15-24,0.08,973,0.92
298,Poland,2021,Y15-24,0.09,929,0.91
299,Portugal,2009,Y15-24,0.04,366,0.96
300,Portugal,2010,Y15-24,0.04,327,0.96
301,Portugal,2011,Y15-24,0.04,303,0.96
302,Portugal,2012,Y15-24,0.03,257,0.97
303,Portugal,2013,Y15-24,0.03,238,0.97
304,Portugal,2014,Y15-24,0.01,246,0.99
305,Portugal,2015,Y15-24,0.02,250,0.98
306,Portugal,2016,Y15-24,0.03,261,0.97
307,Portugal,2017,Y15-24,0.04,282,0.96
308,Portugal,2018,Y15-24,0.04,296,0.96
309,Portugal,2019,Y15-24,0.05,304,0.95
310,Portugal,2020,Y15-24,0.04,256,0.96
311,Portugal,2021,Y15-24,0.05,250,0.95
312,Romania,2009,Y15-24,0.08,557,0.92
313,Romania,2010,Y15-24,0.07,483,0.9299999999999999
314,Romania,2011,Y15-24,0.06,467,0.94
315,Romania,2012,Y15-24,0.07,460,0.9299999999999999
316,Romania,2013,Y15-24,0.08,427,0.92
317,Romania,2014,Y15-24,0.07,403,0.9299999999999999
318,Romania,2015,Y15-24,0.09,427,0.91
319,Romania,2016,Y15-24,0.08,389,0.92
320,Romania,2017,Y15-24,0.06,428,0.94
321,Romania,2018,Y15-24,0.08,430,0.92
322,Romania,2019,Y15-24,0.09,423,0.91
323,Romania,2020,Y15-24,0.09,418,0.91
324,Romania,2021,Y15-24,0.1,427,0.9
325,Sweden,2009,Y15-24,-0.01,474,1.01
326,Sweden,2010,Y15-24,-0.01,487,1.01
327,Sweden,2011,Y15-24,0.0,514,1.0
328,Sweden,2012,Y15-24,-0.02,501,1.02
329,Sweden,2013,Y15-24,-0.03,513,1.03
330,Sweden,2014,Y15-24,-0.03,519,1.03
331,Sweden,2015,Y15-24,-0.03,524,1.03
332,Sweden,2016,Y15-24,-0.03,524,1.03
333,Sweden,2017,Y15-24,-0.02,525,1.02
334,Sweden,2018,Y15-24,-0.03,519,1.03
335,Sweden,2019,Y15-24,-0.02,511,1.02
336,Sweden,2020,Y15-24,0.0,460,1.0
337,Sweden,2021,Y15-24,-0.02,468,1.02
338,Slovenia,2009,Y15-24,0.08,84,0.92
339,Slovenia,2010,Y15-24,0.08,78,0.92
340,Slovenia,2011,Y15-24,0.09,70,0.91
341,Slovenia,2012,Y15-24,0.07,58,0.9299999999999999
342,Slovenia,2013,Y15-24,0.06,55,0.94
343,Slovenia,2014,Y15-24,0.05,53,0.95
344,Slovenia,2015,Y15-24,0.05,58,0.95
345,Slovenia,2016,Y15-24,0.05,55,0.95
346,Slovenia,2017,Y15-24,0.08,65,0.92
347,Slovenia,2018,Y15-24,0.08,65,0.92
348,Slovenia,2019,Y15-24,0.07,62,0.9299999999999999
349,Slovenia,2020,Y15-24,0.05,51,0.95
350,Slovenia,2021,Y15-24,0.05,60,0.95
351,Slovakia,2009,Y15-24,0.08,187,0.92
352,Slovakia,2010,Y15-24,0.06,165,0.94
353,Slovakia,2011,Y15-24,0.1,151,0.9
354,Slovakia,2012,Y15-24,0.08,147,0.92
355,Slovakia,2013,Y15-24,0.07,145,0.9299999999999999
356,Slovakia,2014,Y15-24,0.1,149,0.9
357,Slovakia,2015,Y15-24,0.1,155,0.9
358,Slovakia,2016,Y15-24,0.13,161,0.87
359,Slovakia,2017,Y15-24,0.1,165,0.9
360,Slovakia,2018,Y15-24,0.13,162,0.87
361,Slovakia,2019,Y15-24,0.13,142,0.87
362,Slovakia,2020,Y15-24,0.11,126,0.89
363,Slovakia,2021,Y15-24,0.1,113,0.9
364,Austria,2009,Y15-29,0.07,957,0.9299999999999999
365,Austria,2010,Y15-29,0.08,955,0.92
366,Austria,2011,Y15-29,0.08,967,0.92
367,Austria,2012,Y15-29,0.07,970,0.9299999999999999
368,Austria,2013,Y15-29,0.06,962,0.94
369,Austria,2014,Y15-29,0.04,949,0.96
370,Austria,2015,Y15-29,0.04,954,0.96
371,Austria,2016,Y15-29,0.04,974,0.96
372,Austria,2017,Y15-29,0.03,958,0.97
373,Austria,2018,Y15-29,0.06,958,0.94
374,Austria,2019,Y15-29,0.07,955,0.9299999999999999
375,Austria,2020,Y15-29,0.06,912,0.94
376,Austria,2021,Y15-29,0.08,921,0.92
377,Belgium,2009,Y15-29,0.05,877,0.95
378,Belgium,2010,Y15-29,0.05,868,0.95
379,Belgium,2011,Y15-29,0.05,876,0.95
380,Belgium,2012,Y15-29,0.06,862,0.94
381,Belgium,2013,Y15-29,0.05,839,0.95
382,Belgium,2014,Y15-29,0.03,841,0.97
383,Belgium,2015,Y15-29,0.03,841,0.97
384,Belgium,2016,Y15-29,0.03,843,0.97
385,Belgium,2017,Y15-29,0.04,843,0.96
386,Belgium,2018,Y15-29,0.04,880,0.96
387,Belgium,2019,Y15-29,0.03,916,0.97
388,Belgium,2020,Y15-29,0.03,863,0.97
389,Belgium,2021,Y15-29,0.01,883,0.99
390,Bulgaria,2009,Y15-29,0.1,529,0.9
391,Bulgaria,2010,Y15-29,0.08,541,0.92
392,Bulgaria,2011,Y15-29,0.07,495,0.9299999999999999
393,Bulgaria,2012,Y15-29,0.08,482,0.92
394,Bulgaria,2013,Y15-29,0.08,457,0.92
395,Bulgaria,2014,Y15-29,0.09,459,0.91
396,Bulgaria,2015,Y15-29,0.09,460,0.91
397,Bulgaria,2016,Y15-29,0.1,435,0.9
398,Bulgaria,2017,Y15-29,0.11,458,0.89
399,Bulgaria,2018,Y15-29,0.1,428,0.9
400,Bulgaria,2019,Y15-29,0.11,427,0.89
401,Bulgaria,2020,Y15-29,0.1,376,0.9
402,Bulgaria,2021,Y15-29,0.09,348,0.91
403,Cyprus,2009,Y15-29,0.04,89,0.96
404,Cyprus,2010,Y15-29,0.02,91,0.98
405,Cyprus,2011,Y15-29,0.03,89,0.97
406,Cyprus,2012,Y15-29,0.05,85,0.95
407,Cyprus,2013,Y15-29,0.02,77,0.98
408,Cyprus,2014,Y15-29,0.0,80,1.0
409,Cyprus,2015,Y15-29,-0.01,75,1.01
410,Cyprus,2016,Y15-29,0.01,75,0.99
411,Cyprus,2017,Y15-29,-0.02,80,1.02
412,Cyprus,2018,Y15-29,-0.01,85,1.01
413,Cyprus,2019,Y15-29,0.03,89,0.97
414,Cyprus,2020,Y15-29,0.01,86,0.99
415,Cyprus,2021,Y15-29,0.04,88,0.96
416,Czech Republic,2009,Y15-29,0.15,921,0.85
417,Czech Republic,2010,Y15-29,0.15,873,0.85
418,Czech Republic,2011,Y15-29,0.15,836,0.85
419,Czech Republic,2012,Y15-29,0.14,819,0.86
420,Czech Republic,2013,Y15-29,0.14,822,0.86
421,Czech Republic,2014,Y15-29,0.15,825,0.85
422,Czech Republic,2015,Y15-29,0.15,825,0.85
423,Czech Republic,2016,Y15-29,0.15,819,0.85
424,Czech Republic,2017,Y15-29,0.14,823,0.86
425,Czech Republic,2018,Y15-29,0.14,808,0.86
426,Czech Republic,2019,Y15-29,0.13,791,0.87
427,Czech Republic,2020,Y15-29,0.17,734,0.83
428,Czech Republic,2021,Y15-29,0.17,708,0.83
429,Germany,2009,Y15-29,0.04,7850,0.96
430,Germany,2010,Y15-29,0.04,7558,0.96
431,Germany,2011,Y15-29,0.04,7746,0.96
432,Germany,2012,Y15-29,0.04,7645,0.96
433,Germany,2013,Y15-29,0.04,7645,0.96
434,Germany,2014,Y15-29,0.04,7666,0.96
435,Germany,2015,Y15-29,0.03,7677,0.97
436,Germany,2016,Y15-29,0.03,7958,0.97
437,Germany,2017,Y15-29,0.03,7983,0.97
438,Germany,2018,Y15-29,0.05,7942,0.95
439,Germany,2019,Y15-29,0.05,7957,0.95
440,Germany,2020,Y15-29,0.04,7735,0.96
441,Germany,2021,Y15-29,0.05,7794,0.95
442,Denmark,2009,Y15-29,-0.01,623,1.01
443,Denmark,2010,Y15-29,-0.01,589,1.01
444,Denmark,2011,Y15-29,0.02,591,0.98
445,Denmark,2012,Y15-29,0.01,583,0.99
446,Denmark,2013,Y15-29,0.01,585,0.99
447,Denmark,2014,Y15-29,0.01,601,0.99
448,Denmark,2015,Y15-29,0.01,627,0.99
449,Denmark,2016,Y15-29,0.0,643,1.0
450,Denmark,2017,Y15-29,0.02,654,0.98
451,Denmark,2018,Y15-29,0.01,674,0.99
452,Denmark,2019,Y15-29,0.02,683,0.98
453,Denmark,2020,Y15-29,0.02,667,0.98
454,Denmark,2021,Y15-29,0.03,676,0.97
455,Estonia,2009,Y15-29,0.07,119,0.9299999999999999
456,Estonia,2010,Y15-29,0.05,113,0.95
457,Estonia,2011,Y15-29,0.06,124,0.94
458,Estonia,2012,Y15-29,0.08,123,0.92
459,Estonia,2013,Y15-29,0.08,122,0.92
460,Estonia,2014,Y15-29,0.06,123,0.94
461,Estonia,2015,Y15-29,0.1,125,0.9
462,Estonia,2016,Y15-29,0.09,123,0.91
463,Estonia,2017,Y15-29,0.08,127,0.92
464,Estonia,2018,Y15-29,0.08,125,0.92
465,Estonia,2019,Y15-29,0.09,118,0.91
466,Estonia,2020,Y15-29,0.08,106,0.92
467,Estonia,2021,Y15-29,0.04,103,0.96
468,Greece,2009,Y15-29,0.13,847,0.87
469,Greece,2010,Y15-29,0.12,755,0.88
470,Greece,2011,Y15-29,0.1,623,0.9
471,Greece,2012,Y15-29,0.08,518,0.92
472,Greece,2013,Y15-29,0.07,450,0.9299999999999999
473,Greece,2014,Y15-29,0.06,467,0.94
474,Greece,2015,Y15-29,0.08,475,0.92
475,Greece,2016,Y15-29,0.09,473,0.91
476,Greece,2017,Y15-29,0.1,474,0.9
477,Greece,2018,Y15-29,0.08,480,0.92
478,Greece,2019,Y15-29,0.06,499,0.94
479,Greece,2020,Y15-29,0.06,451,0.94
480,Greece,2021,Y15-29,0.08,482,0.92
481,Spain,2009,Y15-29,0.03,3754,0.97
482,Spain,2010,Y15-29,0.01,3371,0.99
483,Spain,2011,Y15-29,0.01,3040,0.99
484,Spain,2012,Y15-29,-0.01,2624,1.01
485,Spain,2013,Y15-29,0.01,2391,0.99
486,Spain,2014,Y15-29,0.02,2365,0.98
487,Spain,2015,Y15-29,0.01,2380,0.99
488,Spain,2016,Y15-29,0.03,2413,0.97
489,Spain,2017,Y15-29,0.03,2547,0.97
490,Spain,2018,Y15-29,0.03,2662,0.97
491,Spain,2019,Y15-29,0.04,2740,0.96
492,Spain,2020,Y15-29,0.04,2478,0.96
493,Spain,2021,Y15-29,0.02,2656,0.98
507,Finland,2009,Y15-29,0.01,504,0.99
508,Finland,2010,Y15-29,0.02,501,0.98
509,Finland,2011,Y15-29,0.04,512,0.96
510,Finland,2012,Y15-29,0.02,518,0.98
511,Finland,2013,Y15-29,0.01,513,0.99
512,Finland,2014,Y15-29,0.01,503,0.99
513,Finland,2015,Y15-29,0.01,491,0.99
514,Finland,2016,Y15-29,0.01,502,0.99
515,Finland,2017,Y15-29,0.02,511,0.98
516,Finland,2018,Y15-29,0.02,524,0.98
517,Finland,2019,Y15-29,0.02,530,0.98
518,Finland,2020,Y15-29,0.04,502,0.96
519,Finland,2021,Y15-29,0.01,522,0.99
520,France,2009,Y15-29,0.05,5384,0.95
521,France,2010,Y15-29,0.06,5318,0.94
522,France,2011,Y15-29,0.06,5207,0.94
523,France,2012,Y15-29,0.05,5048,0.95
524,France,2013,Y15-29,0.05,5007,0.95
525,France,2014,Y15-29,0.04,4948,0.96
526,France,2015,Y15-29,0.04,4960,0.96
527,France,2016,Y15-29,0.04,4987,0.96
528,France,2017,Y15-29,0.05,5035,0.95
529,France,2018,Y15-29,0.05,5110,0.95
530,France,2019,Y15-29,0.03,5097,0.97
531,France,2020,Y15-29,0.04,4936,0.96
532,France,2021,Y15-29,0.03,5233,0.97
533,Croatia,2009,Y15-29,0.11,355,0.89
534,Croatia,2010,Y15-29,0.06,323,0.94
535,Croatia,2011,Y15-29,0.08,285,0.92
536,Croatia,2012,Y15-29,0.06,262,0.94
537,Croatia,2013,Y15-29,0.05,245,0.95
538,Croatia,2014,Y15-29,0.07,266,0.9299999999999999
539,Croatia,2015,Y15-29,0.08,265,0.92
540,Croatia,2016,Y15-29,0.07,291,0.9299999999999999
541,Croatia,2017,Y15-29,0.08,292,0.92
542,Croatia,2018,Y15-29,0.11,289,0.89
543,Croatia,2019,Y15-29,0.11,298,0.89
544,Croatia,2020,Y15-29,0.13,277,0.87
545,Croatia,2021,Y15-29,0.11,273,0.89
546,Hungary,2009,Y15-29,0.06,705,0.94
547,Hungary,2010,Y15-29,0.05,668,0.95
548,Hungary,2011,Y15-29,0.06,647,0.94
