Country,Year,average % pay gap,Index
Austria,2009,24.9,0.7509999999999999
Austria,2010,22.26842105263158,0.7773157894736842
Austria,2011,24.1,0.759
Austria,2012,23.6,0.764
Austria,2013,23.05,0.7695000000000001
Austria,2014,20.46842105263158,0.7953157894736842
Austria,2015,20.084210526315786,0.7991578947368422
Austria,2016,19.21578947368421,0.8078421052631579
Austria,2017,18.742105263157892,0.8125789473684211
Austria,2018,18.415789473684214,0.8158421052631578
Austria,2019,18.021052631578943,0.8197894736842106
Austria,2020,17.436842105263157,0.8256315789473685
Belgium,2009,11.726315789473682,0.8827368421052632
Belgium,2010,11.3,0.887
Belgium,2011,10.352631578947369,0.8964736842105263
Belgium,2012,9.515789473684213,0.9048421052631579
Belgium,2013,8.615789473684211,0.9138421052631578
Belgium,2014,7.694736842105264,0.9230526315789472
Belgium,2015,7.415789473684211,0.9258421052631579
Belgium,2016,7.0315789473684225,0.9296842105263159
Belgium,2017,6.652631578947368,0.9334736842105263
Belgium,2018,6.38421052631579,0.9361578947368422
Belgium,2019,6.163157894736843,0.9383684210526316
Belgium,2020,5.936842105263159,0.9406315789473685
Bulgaria,2009,12.890476190476189,0.871095238095238
Bulgaria,2010,11.704761904761904,0.8829523809523809
Bulgaria,2011,10.752380952380953,0.8924761904761905
Bulgaria,2012,12.628571428571428,0.8737142857142857
Bulgaria,2013,11.576190476190476,0.8842380952380953
Bulgaria,2014,11.366666666666665,0.8863333333333334
Bulgaria,2015,11.319047619047618,0.8868095238095237
Bulgaria,2016,10.195238095238096,0.898047619047619
Bulgaria,2017,10.119047619047617,0.8988095238095238
Bulgaria,2018,9.104761904761904,0.908952380952381
Bulgaria,2019,10.142857142857142,0.8985714285714286
Bulgaria,2020,9.357142857142858,0.9064285714285714
Croatia,2009,0.0,0.0
Croatia,2010,10.045,0.89955
Croatia,2011,0.0,0.0
Croatia,2012,0.0,0.0
Croatia,2013,9.885714285714286,0.9011428571428571
Croatia,2014,8.357142857142858,0.9164285714285714
Croatia,2015,0.0,0.0
Croatia,2016,8.461904761904762,0.9153809523809524
Croatia,2017,10.538095238095238,0.8946190476190476
Croatia,2018,10.3,0.897
Croatia,2019,10.857142857142858,0.8914285714285713
Croatia,2020,10.904761904761905,0.890952380952381
Cyprus,2009,25.357142857142858,0.7464285714285714
Cyprus,2010,23.761904761904766,0.7623809523809524
Cyprus,2011,23.0,0.77
Cyprus,2012,21.68095238095238,0.7831904761904762
Cyprus,2013,20.795238095238098,0.7920476190476191
Cyprus,2014,19.42857142857143,0.8057142857142857
Cyprus,2015,18.376190476190477,0.8162380952380953
Cyprus,2016,16.566666666666666,0.8343333333333334
Cyprus,2017,15.30952380952381,0.8469047619047619
Cyprus,2018,14.2,0.858
Cyprus,2019,14.204761904761902,0.8579523809523809
Cyprus,2020,13.433333333333334,0.8656666666666666
Czech Republic,2009,21.74761904761905,0.7825238095238095
Czech Republic,2010,19.13809523809524,0.8086190476190476
Czech Republic,2011,18.857142857142854,0.8114285714285714
Czech Republic,2012,19.090476190476192,0.8090952380952381
Czech Republic,2013,18.952380952380953,0.8104761904761905
Czech Republic,2014,18.966666666666665,0.8103333333333333
Czech Republic,2015,18.985714285714284,0.8101428571428572
Czech Republic,2016,18.504761904761903,0.814952380952381
Czech Republic,2017,18.728571428571428,0.8127142857142857
Czech Republic,2018,18.12857142857143,0.8187142857142856
Czech Republic,2019,17.24761904761905,0.8275238095238094
Czech Republic,2020,16.176190476190477,0.8382380952380953
Denmark,2009,13.538095238095238,0.8646190476190476
Denmark,2010,15.004761904761903,0.8499523809523809
Denmark,2011,14.066666666666666,0.8593333333333334
Denmark,2012,13.599999999999998,0.8640000000000001
Denmark,2013,13.114285714285714,0.8688571428571429
Denmark,2014,13.071428571428571,0.8692857142857143
Denmark,2015,12.052380952380952,0.8794761904761904
Denmark,2016,12.228571428571426,0.8777142857142857
Denmark,2017,11.966666666666667,0.8803333333333333
Denmark,2018,11.542857142857143,0.8845714285714286
Denmark,2019,10.86190476190476,0.8913809523809525
Denmark,2020,10.733333333333333,0.8926666666666666
Estonia,2009,25.099999999999994,0.7490000000000001
Estonia,2010,25.642857142857142,0.7435714285714287
Estonia,2011,23.704761904761902,0.7629523809523809
Estonia,2012,25.20952380952381,0.747904761904762
Estonia,2013,25.95714285714286,0.7404285714285714
Estonia,2014,24.333333333333332,0.7566666666666667
Estonia,2015,21.109523809523807,0.7889047619047619
Estonia,2016,20.385714285714286,0.7961428571428572
Estonia,2017,19.94761904761905,0.8005238095238095
Estonia,2018,19.252380952380946,0.8074761904761906
Estonia,2019,18.54285714285714,0.8145714285714285
Estonia,2020,17.21904761904762,0.8278095238095239
Finland,2009,18.147619047619045,0.8185238095238095
Finland,2010,17.928571428571427,0.8207142857142857
Finland,2011,16.51904761904762,0.8348095238095238
Finland,2012,16.228571428571428,0.8377142857142857
Finland,2013,15.761904761904763,0.8423809523809525
Finland,2014,15.009523809523811,0.8499047619047618
Finland,2015,15.004761904761903,0.8499523809523809
Finland,2016,14.585714285714285,0.8541428571428571
Finland,2017,14.49047619047619,0.8550952380952381
Finland,2018,14.06190476190476,0.8593809523809525
Finland,2019,13.49047619047619,0.8650952380952381
Finland,2020,13.59047619047619,0.864095238095238
France,2009,13.399999999999999,0.866
France,2010,13.138095238095238,0.8686190476190476
France,2011,12.833333333333334,0.8716666666666667
France,2012,13.028571428571427,0.8697142857142858
France,2013,13.604761904761904,0.863952380952381
France,2014,13.819047619047618,0.8618095238095238
France,2015,13.466666666666667,0.8653333333333333
