DATAFLOW,LAST UPDATE,freq,unit,sex,age,isco08,worktime,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2015-Q1,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2015-Q2,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2015-Q3,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2015-Q4,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2016-Q1,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2016-Q2,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2016-Q3,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2016-Q4,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2017-Q1,5.1,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2017-Q2,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2017-Q3,5.3,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2017-Q4,5.0,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2018-Q1,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2018-Q2,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2018-Q3,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2018-Q4,,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,BG,2019-Q1,,u
