DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2013,67.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2014,67.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2015,68.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2016,69.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2017,67.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2018,67.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2019,66.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2020,64.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2021,64.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2009,38.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2010,40.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2011,36.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2012,35.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2013,36.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2014,39.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2015,38.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2016,38.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2017,39.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2018,41.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2019,39.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2020,36.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CY,2021,39.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2009,26.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2010,25.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2011,24.1,b
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2012,25.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2013,26.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2014,26.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2015,27.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2016,26.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2017,26.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2018,26.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2019,25.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2020,21.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CZ,2021,21.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,DE,2009,48.9,
